,item_id,name,category,price,old_price,sellable_online,link,other_colors,short_description,designer,depth,height,width,product_img,
3685,99541947,ALEX,Chests of drawers & drawer units,375,No old price,TRUE,https://www.ikea.com/sa/en/p/alex-storage-unit-on-castors-grey-turquoise-black-s99541947/,Yes,"Storage unit on castors, grey-turquoise/black,",Unknown,,,,https://www.ikea.com/sa/en/images/products/alex-storage-unit-on-castors-grey-turquoise-black__1223400_pe914629_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-storage-unit-on-castors-grey-turquoise-black__1225058_pe915119_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-storage-unit-on-castors-grey-turquoise-black__1209810_pe909453_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-storage-unit-on-castors-grey-turquoise-black__1223608_pe914652_s5.jpg?f=s,
3604,29541941,ALEX,Chests of drawers & drawer units,375,No old price,TRUE,https://www.ikea.com/sa/en/p/alex-storage-unit-on-castors-white-black-s29541941/,Yes,"Storage unit on castors, white/black,",Unknown,,,,https://www.ikea.com/sa/en/images/products/alex-storage-unit-on-castors-white-black__1223401_pe914630_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-storage-unit-on-castors-white-black__1232990_pe916619_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-storage-unit-on-castors-white-black__1209814_pe909457_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-storage-unit-on-castors-white-black__1223608_pe914652_s5.jpg?f=s,
3563,50563752,ALEX,Chests of drawers & drawer units,345,No old price,TRUE,https://www.ikea.com/sa/en/p/alex-storage-unit-white-50563752/,Yes,"Storage unit, white,",IKEA of Sweden,58,70,36,https://www.ikea.com/sa/en/images/products/alex-storage-unit-white__1209817_pe909458_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-storage-unit-white__1216045_pe912308_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-storage-unit-white__1256088_ph193652_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-storage-unit-white__1209814_pe909457_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-storage-unit-white__1209816_pe909459_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-storage-unit-white__1209815_pe909460_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-storage-unit-white__1197747_pe903722_s5.jpg?f=s,
2630,29417710,ANFALLARE / HILVER,Tables & desks,"1,095",No old price,TRUE,https://www.ikea.com/sa/en/p/anfallare-hilver-desk-bamboo-s29417710/,No,"Desk, bamboo,",Unknown,,,,https://www.ikea.com/sa/en/images/products/anfallare-hilver-desk-bamboo__0976194_pe813091_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/anfallare-hilver-desk-bamboo__0977787_pe813771_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/anfallare-hilver-desk-bamboo__0734625_pe739544_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/anfallare-hilver-desk-bamboo__1053803_pe847233_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/anfallare-hilver-desk-bamboo__1028389_pe835324_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/anfallare-hilver-desk-bamboo__1160010_pe888698_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/anfallare-hilver-desk-bamboo__1015212_pe829925_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/anfallare-hilver-desk-bamboo__1045393_pe842601_s5.jpg?f=s,
2846,89417707,ANFALLARE / KRILLE,Tables & desks,835,No old price,TRUE,https://www.ikea.com/sa/en/p/anfallare-krille-desk-bamboo-white-s89417707/,Yes,"Desk, bamboo/white,",Unknown,,,,https://www.ikea.com/sa/en/images/products/anfallare-krille-desk-bamboo-white__0976195_pe813088_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/anfallare-krille-desk-bamboo-white__0977787_pe813771_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/anfallare-krille-desk-bamboo-white__80325_pe204596_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/anfallare-krille-desk-bamboo-white__1053474_pe846961_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/anfallare-krille-desk-bamboo-white__1053473_pe846962_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/anfallare-krille-desk-bamboo-white__1160011_pe888699_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/anfallare-krille-desk-bamboo-white__1015214_pe829927_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/anfallare-krille-desk-bamboo-white__1045395_pe842602_s5.jpg?f=s,
2628,19417739,ANFALLARE / TILLSLAG,Tables & desks,785,No old price,TRUE,https://www.ikea.com/sa/en/p/anfallare-tillslag-desk-bamboo-white-s19417739/,Yes,"Desk, bamboo/white,",Unknown,,,,https://www.ikea.com/sa/en/images/products/anfallare-tillslag-desk-bamboo-white__0976205_pe813095_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/anfallare-tillslag-desk-bamboo-white__0977787_pe813771_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/anfallare-tillslag-desk-bamboo-white__0973511_pe812048_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/anfallare-tillslag-desk-bamboo-white__1160016_pe888701_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/anfallare-tillslag-desk-bamboo-white__1016777_pe857281_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/anfallare-tillslag-desk-bamboo-white__0985504_pe816655_s5.jpg?f=s,
2827,40501646,ANFALLSZON,Tables & desks,425,199,TRUE,https://www.ikea.com/sa/en/p/anfallszon-screen-for-desk-transparent-white-40501646/,No,"Screen for desk, transparent/white,",IKEA of Sweden,,650,750,https://www.ikea.com/sa/en/images/products/anfallszon-screen-for-desk-transparent-white__0952998_pe802269_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/anfallszon-screen-for-desk-transparent-white__0952965_pe802261_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/anfallszon-screen-for-desk-transparent-white__0945419_pe797666_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/anfallszon-screen-for-desk-transparent-white__0953810_pe802929_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/anfallszon-screen-for-desk-transparent-white__0953811_pe802928_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/anfallszon-screen-for-desk-transparent-white__0953809_pe802930_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/anfallszon-screen-for-desk-transparent-white__0953808_pe802927_s5.jpg?f=s,
802,10469186,ANGERSBY,Sofas,"1,295",No old price,TRUE,https://www.ikea.com/sa/en/p/angersby-2-seat-sofa-knisa-light-grey-10469186/,No,"2-seat sofa, Knisa light grey",Unknown,49,46,120,https://www.ikea.com/sa/en/images/products/angersby-2-seat-sofa-knisa-light-grey__0770896_pe755642_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/angersby-2-seat-sofa-knisa-light-grey__0944427_pe797252_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/angersby-2-seat-sofa-knisa-light-grey__0788148_pe763488_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/angersby-2-seat-sofa-knisa-light-grey__0788147_pe763489_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/angersby-2-seat-sofa-knisa-light-grey__0788146_pe763487_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/angersby-2-seat-sofa-knisa-light-grey__0970313_pe811023_s5.jpg?f=s,
3809,80426928,ANTILOP,Nursery furniture,30,30,TRUE,https://www.ikea.com/sa/en/p/antilop-cover-blue-red-80426928/,No,"Cover, blue/red",S Edholm/L Ullenius,26,2,21,https://www.ikea.com/sa/en/images/products/antilop-cover-blue-red__0709375_pe726948_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/antilop-cover-blue-red__0873460_pe726947_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/antilop-cover-blue-red__0873456_pe726946_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/antilop-cover-blue-red__0873468_pe726950_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/antilop-cover-blue-red__0873464_pe726949_s5.jpg?f=s,
3899,50489856,ANTILOP,Nursery furniture,30,59,TRUE,https://www.ikea.com/sa/en/p/antilop-highchair-tray-light-blue-50489856/,No,"Highchair tray, light blue",IKEA of Sweden,42,,42,https://www.ikea.com/sa/en/images/products/antilop-highchair-tray-light-blue__0653955_pe708192_s5.jpg?f=s,
3901,70489855,ANTILOP,Nursery furniture,30,59,TRUE,https://www.ikea.com/sa/en/p/antilop-highchair-tray-pink-70489855/,No,"Highchair tray, pink",IKEA of Sweden,42,,42,https://www.ikea.com/sa/en/images/products/antilop-highchair-tray-pink__0594144_pe675510_s5.jpg?f=s,
3855,40076093,ANTILOP,Nursery furniture,20,59,TRUE,https://www.ikea.com/sa/en/p/antilop-highchair-tray-white-40076093/,No,"Highchair tray, white",IKEA of Sweden,42,,42,https://www.ikea.com/sa/en/images/products/antilop-highchair-tray-white__0727943_pe735950_s5.jpg?f=s,
3857,49406372,ANTILOP,Nursery furniture,129,No old price,TRUE,https://www.ikea.com/sa/en/p/antilop-highchair-with-tray-pink-silver-colour-s49406372/,No,"Highchair with tray, pink/silver-colour",Unknown,,,,https://www.ikea.com/sa/en/images/products/antilop-highchair-with-tray-pink-silver-colour__0610891_pe685157_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/antilop-highchair-with-tray-pink-silver-colour__1062061_pe850641_s5.jpg?f=s,
